uid,浏览量,点赞量,完整观看数,观看作者数,观看作品数,bgm收听数,观看作品平均时长,所在过的城市数,观看作品的所在城市数
15692,331,1,120,285,331,272,10.244712990936556,1,114
44071,15,0,11,15,15,15,12.0,1,13
10902,131,2,28,128,131,104,11.732824427480915,4,95
25300,20,0,10,20,20,20,12.5,1,18
3656,153,1,72,139,153,127,11.137254901960784,1,90
30913,81,0,38,81,81,70,11.012345679012345,1,64
25848,26,0,10,26,26,26,11.423076923076923,1,21
41439,155,1,84,152,155,124,10.96774193548387,1,80
20728,94,0,50,93,94,81,11.936170212765957,1,64
57509,183,0,30,176,183,158,11.01639344262295,1,102
9369,56,0,26,55,56,53,11.839285714285714,1,40
1127,144,0,26,131,144,115,13.006944444444445,1,94
65164,2,0,2,2,2,2,15.5,2,2
10196,224,1,84,219,224,173,11.401785714285714,1,93
31199,159,0,43,149,159,141,11.69811320754717,1,83
18376,236,0,78,217,236,198,11.461864406779661,1,111
12694,29,0,20,29,29,26,9.10344827586207,1,28
1996,292,0,57,271,292,255,10.89041095890411,1,110
43822,15,0,4,15,15,15,10.2,1,11
30704,109,0,63,108,109,95,11.128440366972477,1,82
21220,57,1,44,55,57,54,10.56140350877193,1,36
47525,17,0,14,17,17,17,9.058823529411764,1,14
37649,5,0,3,5,5,5,12.0,1,5
4340,11,0,8,11,11,11,10.818181818181818,1,11
4590,149,0,36,147,149,128,10.63758389261745,1,98
2120,21,0,15,21,21,20,11.142857142857142,1,20
59007,5,0,4,5,5,5,8.4,1,5
6162,89,0,38,87,89,70,10.752808988764045,1,63
38274,43,0,18,43,43,40,11.930232558139535,1,35
15121,133,0,64,125,133,117,12.030075187969924,1,76
4352,129,10,48,121,129,105,11.170542635658915,3,79
23940,38,0,19,37,38,33,12.236842105263158,1,32
26327,20,0,10,20,20,20,9.1,1,19
35706,8,1,4,8,8,8,9.25,1,8
19644,44,0,19,44,44,43,12.704545454545455,1,32
23590,30,0,23,28,30,26,10.3,1,21
32703,305,0,77,290,305,202,11.308196721311475,2,134
4711,360,0,49,352,360,267,11.080555555555556,1,129
8335,174,0,80,164,174,139,11.459770114942529,2,92
3737,401,0,118,385,401,238,11.097256857855362,1,134
3797,78,0,16,77,78,69,11.153846153846153,1,55
13359,88,0,17,87,88,66,11.238636363636363,1,67
495,388,0,124,375,388,296,10.675257731958762,1,173
9023,10,0,3,10,10,10,9.3,1,9
11659,26,0,9,25,26,25,12.76923076923077,1,20
30957,1019,0,200,933,1019,568,10.489695780176644,2,211
43973,143,0,36,142,143,95,10.272727272727273,1,88
35800,13,0,8,13,13,12,9.615384615384615,1,13
31329,411,5,135,354,411,308,10.854014598540147,1,136
2102,374,0,97,345,374,308,10.893048128342246,1,143
23622,72,0,11,71,72,71,10.777777777777779,1,49
32059,69,0,35,68,69,66,10.043478260869565,1,51
22666,22,0,9,22,22,19,11.454545454545455,1,20
844,337,0,126,318,337,303,10.919881305637983,3,132
49345,33,0,16,33,33,31,11.06060606060606,3,31
52707,84,0,30,83,84,72,10.166666666666666,2,54
132,106,0,55,103,106,97,11.70754716981132,1,73
33139,123,0,53,118,123,100,11.495934959349594,1,84
3675,153,0,52,140,153,132,11.69281045751634,1,74
1871,276,0,32,259,276,208,10.83695652173913,2,115
5010,83,0,21,78,83,75,10.867469879518072,1,56
44116,14,1,7,14,14,14,12.785714285714286,1,14
18913,85,0,42,80,85,79,10.48235294117647,1,61
1250,149,3,21,143,149,117,11.691275167785236,1,81
30071,22,0,4,22,22,21,14.590909090909092,1,20
200,219,0,30,198,219,161,10.63013698630137,4,106
27111,85,0,48,83,85,79,11.470588235294118,1,57
31037,153,0,45,145,153,111,10.908496732026144,1,90
12060,148,0,56,144,148,117,10.371621621621621,1,81
44047,240,0,55,235,240,189,11.425,1,93
6074,75,0,35,74,75,71,11.746666666666666,1,63
35779,20,0,13,20,20,19,9.15,1,19
36655,150,0,72,142,150,108,11.766666666666667,1,89
12429,84,0,27,80,84,77,10.678571428571429,1,60
12846,116,0,15,110,116,88,10.387931034482758,1,78
44778,382,2,66,298,382,241,10.767015706806284,1,122
27528,67,0,37,65,67,55,10.432835820895523,1,40
36084,20,0,7,20,20,20,13.75,1,18
32937,194,12,76,188,194,169,11.262886597938145,1,97
15258,32,0,15,32,32,30,12.25,1,27
9703,111,0,61,110,111,99,10.675675675675675,1,77
32270,261,0,96,247,261,197,10.639846743295019,5,112
44614,125,27,70,120,125,106,10.224,1,67
31097,45,0,21,44,45,42,10.977777777777778,1,36
626,816,1,66,694,816,547,10.973039215686274,1,200
2274,474,0,83,440,474,360,11.065400843881857,1,154
50834,23,0,16,23,23,22,10.043478260869565,1,21
3721,35,0,8,34,35,34,13.257142857142858,1,28
9969,40,0,23,40,40,40,11.125,1,30
11528,14,0,4,14,14,14,13.357142857142858,1,11
44054,26,0,8,25,26,24,10.923076923076923,1,22
23059,21,0,9,20,21,19,9.285714285714286,1,20
5677,100,1,16,93,100,95,10.55,1,53
13980,132,0,29,130,132,100,13.446969696969697,2,91
43922,165,0,77,165,165,128,10.593939393939394,1,110
65098,6,0,4,6,6,6,13.666666666666666,1,6
13663,232,0,39,180,232,164,11.038793103448276,1,87
39504,63,0,16,62,63,55,10.920634920634921,2,39
45532,272,0,47,268,272,202,11.988970588235293,1,162
17601,154,0,49,145,154,132,10.727272727272727,1,79
15630,66,0,36,63,66,63,10.666666666666666,2,56
38770,12,0,6,11,12,12,9.0,1,10
8752,61,1,23,56,61,53,10.557377049180328,1,38
14036,25,0,15,25,25,25,10.44,1,22
5085,46,0,15,45,46,41,12.956521739130435,1,42
2391,15,0,4,14,15,15,10.4,1,14
40363,78,0,33,75,78,71,12.294871794871796,1,65
8693,205,0,124,199,205,173,11.331707317073171,1,104
8444,59,0,39,56,59,57,9.610169491525424,1,33
46910,32,0,6,29,32,31,9.5625,1,27
44660,14,0,1,14,14,14,7.928571428571429,1,14
7868,295,0,39,287,295,181,10.484745762711864,1,117
5842,70,0,42,70,70,53,10.285714285714286,1,52
8999,105,0,39,100,105,85,10.485714285714286,1,73
46515,25,0,16,23,25,24,10.88,1,20
32510,266,0,93,257,266,179,10.906015037593985,2,126
29473,73,2,20,73,73,64,9.479452054794521,1,49
6322,95,0,37,95,95,78,11.357894736842105,1,71
